symbol,gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
MEGF9,ENSG00000106780,-1.172255493940758,5.776881403313874,-5.536519384434192,9.8308724075128e-6,0.12487759465034039,3.5633850769445914
OSBPL11,ENSG00000144909,-0.6976814424081539,4.311819098373894,-5.080446677883665,2.997298576092876e-5,0.12487759465034039,2.375062699561969
FGL2,ENSG00000127951,-1.4024884916389577,6.471486051582443,-5.05376891854901,3.277648382006573e-5,0.12487759465034039,2.287681943905204
PLXDC2,ENSG00000120594,-1.3206299640848544,4.531336511030112,-5.040963587925377,3.5464458259615135e-5,0.12487759465034039,2.351294353924178
CAB39,ENSG00000135932,-0.49888065986071345,6.641467526910125,-4.910944729368959,4.425403728673855e-5,0.12487759465034039,2.2685013779601633
MSRB1,ENSG00000198736,-1.5313519151307085,5.034471455981998,-4.881261206160872,4.885072837422065e-5,0.12487759465034039,1.923340779406094
CR1,ENSG00000203710,-0.8045564834300988,4.579314311194512,-4.853559988270684,5.150805271064655e-5,0.12487759465034039,1.787685299384977
ARPC5,ENSG00000162704,-0.7539894500917231,7.2972516143887045,-4.831919085378768,6.007163153732515e-5,0.12743445735249315,2.469354469158067
CUL3,ENSG00000036257,0.7261195877412683,5.74021186215633,4.281108278300442,8.851276850878377e-5,0.14130979478585828,1.2614981513852621
PRR7,ENSG00000131188,0.9187316150239007,3.8706096704093604,4.6170241595215655,9.2863077600158e-5,0.14130979478585828,1.337820896731233
FBXL5,ENSG00000118564,-0.8143135083584182,6.371111155676409,-4.5795776957802845,1.1081185964796965e-4,0.14130979478585828,1.4677116006300066
MNDA,ENSG00000163563,-1.866136451792365,6.124018373118682,-4.574263782171614,1.1094693704328165e-4,0.14130979478585828,1.272540492590779
LACTB2,ENSG00000147592,-1.455795419133446,1.1537137579743697,-4.467524085460954,1.1359278091780002e-4,0.14130979478585828,1.818458267324428
AHCYL1,ENSG00000168710,-0.826051298305884,5.16742843033159,-4.196000551911703,1.1657162966248398e-4,0.14130979478585828,1.0514343391996892
ENSG00000277476,ENSG00000277476,0.6338533266558687,4.19581028797737,4.4585747314443935,1.5428539833875618e-4,0.15593562312396797,0.9575705563084149
EZH2,ENSG00000106462,0.8152691694234515,3.9470559429295626,4.379639528201382,1.849323037082936e-4,0.15593562312396797,0.8905212795430195
EVI2B,ENSG00000185862,-0.7976972077318328,7.377281215407297,-4.3793126242371105,1.919395470854321e-4,0.15593562312396797,1.426251429821349
PRKRIP1,ENSG00000128563,0.5100168189844216,5.812562026674734,4.454315058641479,1.9801652954867961e-4,0.15593562312396797,1.058479869395093
LAMP2,ENSG00000005893,-0.6515432930328491,5.690247663692293,-4.350857306860099,2.0751852172373202e-4,0.15593562312396797,1.1293906469078596
SIGLEC15,ENSG00000197046,-2.9840112242387007,-0.6292841507058292,-4.278934946042378,2.1002438523686553e-4,0.15593562312396797,1.13272013772235
ANTXR2,ENSG00000163297,-0.7269217137285295,5.54075077937699,-4.308781160281968,2.165534228588895e-4,0.15593562312396797,0.6594700450872999
